word,count_today,growth,score
làm_ăn,91,0.6140350877192983,15.396913426378772
atc,143,-0.046357615894039736,11.40390428481193
lãi,223,-0.5642023346303502,6.507846951687256
tím,173,-0.5817307692307693,5.501472788956892
báo,98,-0.5099009900990099,4.851732666953242
tỷ,251,-0.6992840095465394,4.764237277415543
chiều,136,-0.7133891213389121,3.342428492024294
lái,165,-0.7398119122257053,3.3421765016589524
ròng,47,-0.5555555555555556,3.0469576001782417
bán,418,-0.854412786657401,2.9765376086898216
short,45,-0.5700934579439252,2.8839007560277667
rút,107,-0.7244897959183674,2.84989971107441
hàng,225,-0.8327165062916358,2.509252405625462
phiên,261,-0.8457008244994111,2.4927794690269254
giảm,240,-0.8402915838303512,2.4741921442968526
đạp,96,-0.7622549019607843,2.32941671617616
chân,99,-0.7695852534562212,2.2925977813516587
kéo,223,-0.8472032742155525,2.281741700659788
tây,91,-0.7676767676767676,2.216222387130278
mua,427,-0.8952007835455436,2.1655687367439627
